fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
6.97,0.312,0.502,0.67,0.083,16.2,38.0,0.9968,3.19,0.6,11.01,6
11.09,0.481,0.66,1.54,0.054,0.5,14.4,0.9935,3.39,0.488,9.97,6
9.23,0.412,0.35,4.07,0.132,23.2,59.7,0.9922,3.69,0.714,9.95,5
11.97,0.501,0.219,2.29,0.137,13.4,42.1,0.9969,3.24,0.687,11.4,5
8.92,0.504,0.273,2.13,0.09,14.0,47.1,0.9973,3.52,0.877,11.87,6
11.41,0.783,0.392,5.14,0.108,15.7,19.3,0.9945,3.56,0.725,12.72,6
8.4,0.625,0.38,1.97,0.119,7.2,37.9,0.9966,3.34,0.453,10.11,6
8.79,0.324,0.467,2.22,0.097,14.3,22.6,0.9992,3.25,0.885,9.96,6
7.84,0.688,0.0,0.34,0.155,23.6,41.8,0.9969,3.33,0.317,12.26,4
9.33,0.705,0.413,2.61,0.098,28.4,63.2,0.9967,3.05,0.641,10.1,5
8.24,0.179,0.423,1.39,0.141,8.4,21.0,0.9996,3.18,0.749,9.23,5
6.6,0.803,0.036,0.39,0.075,20.9,57.0,0.9921,3.44,0.874,9.89,5
6.91,0.707,0.247,2.21,0.115,27.0,33.1,0.9954,3.48,0.566,10.12,4
9.57,0.469,0.026,4.67,0.0,14.7,53.5,0.9952,3.52,0.199,12.66,6
6.68,0.539,0.048,3.04,0.058,1.2,33.2,0.9962,3.44,1.083,9.49,6
7.84,0.335,0.192,4.38,0.13,16.3,60.9,0.9964,3.44,0.484,10.53,5
6.55,0.639,0.483,4.13,0.079,14.4,48.8,0.9972,3.12,0.878,9.3,5
8.98,0.622,0.203,2.83,0.16,32.9,71.0,0.9947,3.46,0.35,10.65,4
7.84,0.651,0.239,4.14,0.102,12.2,29.7,0.9987,3.45,0.364,9.31,5
10.58,0.463,0.212,3.03,0.06,24.5,67.7,0.9974,3.61,0.329,9.29,3
8.7,0.404,0.501,2.95,0.027,6.8,49.1,0.9985,3.19,0.55,12.17,7
9.71,0.852,0.502,0.86,0.113,10.9,49.2,0.9966,3.28,0.922,9.57,6
6.65,0.876,0.016,2.38,0.138,12.9,46.5,0.9968,3.32,0.518,9.71,4
9.47,0.243,0.424,4.33,0.103,39.1,42.0,0.9942,3.43,0.841,10.32,6
4.55,0.305,0.458,2.34,0.072,19.2,24.6,0.9969,3.39,0.824,10.55,5
9.92,0.664,0.35,4.9,0.097,16.8,32.8,1.0004,3.51,0.669,11.11,5
8.43,0.618,0.342,2.57,0.095,17.0,23.0,1.0004,3.33,0.824,8.91,3
10.03,0.803,0.285,4.6,0.082,20.9,34.9,0.9934,3.26,0.953,10.45,6
5.36,0.496,0.472,4.01,0.063,14.8,39.9,1.0001,3.12,0.578,8.86,4
8.09,0.443,0.468,1.54,0.088,4.6,44.1,0.9956,3.29,0.678,11.68,6
5.33,0.361,0.229,3.5,0.086,7.8,54.5,0.9963,3.19,0.65,10.61,4
7.72,0.703,0.365,2.37,0.025,27.9,71.3,0.9988,3.14,0.621,10.89,4
7.31,0.642,0.0,0.19,0.12,2.1,34.1,0.9957,3.38,0.562,9.9,4
6.56,0.425,0.204,3.04,0.011,33.9,51.5,0.9989,3.11,0.596,11.1,4
5.5,0.631,0.042,2.27,0.032,36.6,71.0,0.9941,3.14,0.506,9.08,4
9.33,0.292,0.392,3.99,0.137,5.9,14.0,0.9959,3.32,0.698,10.5,6
9.56,0.233,0.101,1.6,0.074,23.2,58.5,0.9975,3.42,0.782,8.56,6
7.98,0.632,0.513,3.51,0.085,8.8,54.9,0.9984,3.39,0.723,12.44,7
9.86,0.73,0.045,2.27,0.081,40.2,81.5,0.9978,3.38,0.833,12.18,5
8.52,0.599,0.519,1.88,0.052,26.2,46.6,0.9964,3.24,0.422,8.5,4
7.99,0.487,0.355,3.86,0.103,1.0,30.7,0.9962,3.4,0.598,8.52,4
7.58,0.649,0.507,3.02,0.091,23.6,70.3,1.0002,3.31,0.645,9.31,6
10.35,0.1,0.302,2.16,0.116,28.4,38.1,1.0003,3.54,0.715,10.73,6
7.35,0.569,0.074,2.55,0.079,34.8,64.9,0.9967,3.49,0.623,10.31,5
8.75,0.197,0.322,1.8,0.157,2.1,18.6,0.998,2.91,0.666,8.58,5
8.21,0.571,0.458,0.42,0.129,13.9,57.1,0.9984,3.4,0.745,11.99,4
7.06,0.673,0.542,2.55,0.025,1.2,31.9,0.9947,2.97,0.642,9.76,5
9.18,0.741,0.354,4.39,0.13,23.0,60.4,0.9973,3.31,0.505,10.68,4
6.12,0.717,0.571,2.68,0.164,20.6,41.3,0.9988,3.17,0.673,9.09,6
8.85,0.783,0.427,4.18,0.111,0.0,30.6,0.9965,3.37,0.584,9.35,4
4.21,0.662,0.163,2.1,0.08,2.6,43.5,0.9984,3.33,0.603,9.43,5
6.26,0.678,0.039,4.62,0.032,23.4,53.8,0.9976,3.39,0.785,9.17,4
7.33,0.449,0.151,3.48,0.047,24.5,41.5,0.999,3.49,0.668,10.93,5
8.57,0.736,0.405,2.89,0.121,24.0,42.8,0.9958,3.28,0.792,10.75,5
9.87,0.648,0.233,1.95,0.06,18.3,54.5,0.9968,3.2,0.884,11.26,5
6.96,0.565,0.368,1.0,0.04,5.5,35.7,0.9995,3.32,0.577,9.1,5
8.35,0.441,0.106,5.64,0.111,29.1,36.0,0.997,3.42,0.86,10.48,5
7.28,0.406,0.23,1.87,0.069,10.9,47.6,0.9979,3.51,0.568,9.3,5
8.7,0.358,0.21,3.1,0.097,3.7,42.6,0.996,3.59,0.857,11.53,6
10.17,0.559,0.301,2.12,0.081,0.6,24.8,0.999,3.28,0.66,11.5,5
11.61,0.71,0.222,1.27,0.062,17.0,46.0,1.0006,3.35,0.515,11.61,5
9.76,0.533,0.0,2.83,0.112,8.4,8.9,0.9953,3.31,0.457,10.43,5
9.71,0.78,0.129,1.45,0.089,11.1,32.1,0.9993,3.38,0.869,11.63,5
6.34,0.394,0.346,2.3,0.038,25.0,57.4,0.9994,3.06,0.549,12.54,7
8.86,1.004,0.151,4.7,0.134,6.3,45.7,0.9951,3.45,0.886,11.83,4
7.2,0.584,0.335,3.54,0.01,18.2,46.1,0.9958,3.23,0.669,10.18,6
7.92,0.537,0.507,2.57,0.021,9.7,55.0,0.9968,3.14,0.808,9.26,6
10.27,0.505,0.0,0.59,0.041,19.0,50.0,0.9962,3.2,0.651,8.5,4
8.15,0.421,0.277,2.26,0.029,29.5,77.5,0.9939,3.4,0.948,10.61,6
7.53,0.487,0.618,2.35,0.054,9.5,52.0,0.994,3.46,0.593,11.47,6
6.53,0.452,0.52,3.19,0.021,18.9,36.7,0.996,3.34,0.683,11.81,6
8.13,0.631,0.0,0.74,0.016,10.4,44.3,0.9972,3.38,0.679,8.76,5
8.1,0.71,0.527,4.57,0.047,22.6,80.7,0.9971,3.33,0.798,10.15,5
10.78,0.529,0.257,3.08,0.063,16.7,55.5,0.9965,3.09,0.906,9.44,5
7.19,0.348,0.276,0.72,0.037,27.2,51.9,0.9953,3.24,0.67,10.43,6
9.76,0.945,0.403,3.64,0.006,0.1,36.0,0.9983,3.38,0.763,10.69,4
11.08,0.715,0.168,2.93,0.058,14.5,27.7,0.9951,3.15,0.621,10.17,5
7.68,0.76,0.623,2.11,0.109,11.8,36.1,0.9988,3.48,0.435,10.87,4
5.01,0.692,0.327,4.0,0.144,21.3,48.6,0.9958,3.21,0.459,12.31,5
7.69,0.818,0.219,2.89,0.053,29.3,72.5,0.9951,3.57,0.711,11.92,6
11.07,0.715,0.748,2.94,0.046,20.9,64.6,0.9974,3.39,0.653,9.56,4
8.19,0.519,0.311,0.91,0.073,7.4,43.2,0.9946,3.22,0.639,8.62,4
8.8,0.732,0.098,1.97,0.038,13.3,30.5,0.9978,3.27,0.487,12.1,5
10.59,0.223,0.0,2.24,0.083,4.6,15.8,0.9963,3.42,0.399,9.91,6
8.63,0.845,0.411,0.71,0.128,15.2,23.6,0.9977,3.37,0.938,12.54,5
4.54,0.391,0.313,1.29,0.099,8.0,10.0,0.9993,3.47,0.689,8.81,3
10.99,0.551,0.197,1.11,0.081,13.8,71.0,0.9936,3.48,0.397,9.31,4
6.48,0.428,0.045,3.37,0.065,6.9,11.5,0.9964,3.04,0.306,10.77,5
9.5,0.5,0.535,0.21,0.079,29.2,62.3,0.9962,3.45,0.759,9.91,4
9.42,0.351,0.24,4.1,0.097,10.2,49.1,0.9969,3.16,0.43,10.55,6
9.04,0.524,0.353,1.64,0.021,15.0,30.6,1.0025,3.52,0.526,11.61,5
5.82,0.779,0.334,2.37,0.064,10.0,30.5,0.9938,3.3,0.452,12.0,5
10.03,0.533,0.0,3.23,0.09,43.1,94.3,0.9971,3.23,0.677,10.25,6
7.87,0.32,0.315,3.29,0.072,12.6,41.5,0.9974,3.52,0.49,9.56,5
4.0,0.818,0.14,4.78,0.056,36.6,56.1,0.9954,3.24,0.733,8.5,5
7.08,0.524,0.294,3.03,0.027,19.3,59.9,0.9968,3.01,0.605,9.58,5
6.91,0.778,0.071,2.85,0.064,11.5,52.3,0.9966,3.35,0.639,8.5,3
9.05,0.561,0.445,3.66,0.126,15.6,70.2,0.9981,3.14,0.65,12.68,7
5.71,0.692,0.332,3.33,0.093,25.9,55.9,0.9968,3.18,0.732,10.32,5
5.3,0.605,0.15,3.52,0.114,42.0,87.3,0.996,3.41,0.666,8.5,4
8.91,0.726,0.076,5.98,0.062,24.0,65.1,1.0015,3.12,0.594,10.26,5
10.82,0.529,0.094,4.08,0.056,14.3,53.8,0.9964,3.34,0.907,11.12,6
9.09,0.807,0.156,2.92,0.083,5.7,42.0,0.9933,3.3,0.796,9.9,3
7.28,0.754,0.193,1.84,0.048,1.6,65.2,0.9943,3.4,0.681,9.72,4
7.76,0.403,0.387,4.27,0.092,31.5,61.2,0.9972,3.41,0.523,10.58,5
8.11,0.405,0.352,0.71,0.11,7.3,46.8,0.9989,3.74,0.699,11.21,5
8.48,0.443,0.411,4.17,0.11,12.7,66.9,0.9953,3.14,0.857,9.51,5
10.02,0.722,0.041,2.46,0.087,25.9,66.8,0.9964,3.02,0.749,10.05,5
6.99,0.592,0.148,1.38,0.033,24.3,50.7,0.9985,3.11,0.462,11.87,5
10.69,0.682,0.19,0.2,0.073,9.7,20.6,0.9961,3.38,0.805,9.57,4
11.44,0.343,0.339,0.88,0.09,12.5,30.0,0.9983,3.18,0.47,10.78,4
8.79,0.678,0.492,0.68,0.068,18.2,27.1,0.9963,3.31,0.536,10.89,5
12.35,0.308,0.348,1.44,0.097,24.1,29.4,0.995,3.41,0.781,9.94,6
9.09,0.604,0.424,1.0,0.043,17.9,42.8,0.9975,3.19,0.441,8.63,3
8.99,0.372,0.238,1.06,0.106,6.3,42.6,0.9967,3.31,0.683,9.34,6
11.99,0.341,0.198,1.63,0.116,26.2,69.3,0.9962,3.18,0.648,9.78,6
7.28,0.507,0.524,0.98,0.135,12.9,39.9,0.999,3.42,0.36,9.39,5
11.92,0.757,0.173,1.31,0.056,8.3,26.7,0.9963,3.51,0.814,9.54,5
7.07,0.369,0.0,3.48,0.085,27.8,61.2,0.9955,3.31,0.459,11.58,5
8.97,0.433,0.481,2.12,0.184,27.6,49.1,0.9974,3.51,0.568,10.2,4
10.16,0.773,0.0,1.09,0.061,1.7,23.8,0.9976,3.12,0.629,10.11,4
8.22,0.512,0.301,2.85,0.085,26.2,38.8,0.993,2.91,0.791,12.92,6
8.47,0.624,0.37,2.44,0.075,14.4,36.7,0.9957,3.28,0.891,10.33,5
6.69,0.577,0.498,3.49,0.119,33.6,44.0,0.9995,3.28,0.725,11.05,5
8.86,0.818,0.471,4.29,0.084,21.8,67.3,0.995,3.31,0.734,10.72,5
10.32,0.702,0.294,4.04,0.106,27.4,58.1,0.9976,3.13,0.426,9.27,4
8.91,0.7,0.407,2.38,0.131,29.2,63.2,0.995,3.32,0.56,9.28,3
10.7,0.713,0.412,1.73,0.101,27.9,32.0,0.9985,3.35,0.624,10.88,4
8.52,0.592,0.23,2.49,0.059,17.5,40.4,0.9983,3.27,1.04,10.7,5
9.85,0.396,0.023,3.77,0.083,23.5,46.8,0.9969,3.12,0.933,11.29,6
8.5,0.496,0.661,6.27,0.031,21.3,52.2,0.9974,3.28,0.867,10.85,5
11.62,0.604,0.0,1.98,0.121,8.1,26.0,0.9949,3.26,0.7,12.07,5
7.8,0.437,0.62,1.84,0.133,18.8,88.1,0.997,3.23,0.953,11.25,6
9.05,0.541,0.625,2.29,0.041,17.8,37.1,0.9952,3.46,0.794,9.01,5
10.29,0.603,0.259,4.68,0.043,22.5,37.1,0.9932,3.56,0.662,9.09,4
6.04,0.332,0.528,3.41,0.123,12.7,49.9,0.9969,3.35,0.638,13.4,7
11.04,0.632,0.213,2.8,0.127,3.4,42.6,0.9979,3.43,0.848,9.33,4
9.65,0.625,0.445,4.3,0.109,16.4,35.8,0.9968,3.19,0.724,10.39,4
9.15,0.431,0.0,1.84,0.185,13.1,23.1,0.9981,3.37,0.949,10.5,6
9.42,0.486,0.447,1.72,0.112,8.1,44.1,0.9984,3.5,0.778,8.5,4
9.87,0.638,0.184,1.42,0.127,19.7,50.8,0.9946,3.43,0.727,9.9,5
8.09,0.227,0.352,4.06,0.15,29.1,73.9,0.9957,3.11,1.001,12.39,7
9.24,0.373,0.13,4.11,0.064,24.9,52.0,0.9959,3.37,0.759,11.41,7
6.76,0.777,0.241,3.16,0.098,19.6,60.6,0.9944,3.57,0.616,10.58,5
8.01,0.41,0.488,2.03,0.082,31.9,43.0,0.9949,3.28,0.751,10.24,4
9.48,0.734,0.283,3.26,0.056,15.8,38.9,0.9975,3.4,0.611,10.37,4
7.95,0.542,0.106,1.11,0.129,10.6,41.3,0.9925,3.06,0.63,11.11,4
10.37,0.549,0.61,2.83,0.163,10.0,24.7,0.9963,3.08,0.789,9.4,5
7.13,0.558,0.269,1.08,0.046,17.9,41.2,0.9976,3.24,0.843,11.26,4
7.28,0.363,0.049,3.86,0.119,28.3,55.8,0.997,3.37,0.549,9.71,5
8.37,0.191,0.314,4.02,0.11,25.7,63.9,0.9981,3.35,0.609,8.64,5
7.24,0.425,0.294,2.2,0.048,32.2,42.2,0.9987,3.0,0.566,11.22,6
11.16,0.694,0.0,1.79,0.104,23.8,70.8,0.9955,3.43,0.469,10.84,5
10.73,0.406,0.127,3.09,0.09,24.5,39.9,0.997,3.37,0.663,10.48,5
4.84,0.583,0.288,3.93,0.068,10.7,43.6,0.9999,3.36,0.829,10.69,4
9.53,0.163,0.339,1.28,0.077,5.3,23.1,0.9962,3.29,0.986,10.08,7
8.18,0.545,0.421,1.26,0.054,8.4,14.5,0.9954,3.43,0.51,9.87,5
8.48,0.507,0.089,1.74,0.124,15.1,56.2,0.9953,3.23,0.596,10.13,5
7.25,0.76,0.0,2.44,0.151,1.2,21.6,0.9926,3.04,0.694,11.41,4
9.35,0.434,0.391,4.86,0.14,7.6,39.5,0.9938,3.12,0.597,9.59,6
8.68,0.391,0.352,4.86,0.067,27.3,55.3,0.9986,3.29,0.635,11.09,6
9.84,0.247,0.392,1.02,0.075,16.6,29.2,0.9976,3.32,0.549,11.07,6
7.03,0.61,0.169,4.41,0.028,14.9,54.7,0.9986,3.26,0.517,10.46,4
6.2,0.598,0.454,4.28,0.11,26.9,57.3,0.9953,3.69,0.438,11.33,5
7.67,0.858,0.512,3.58,0.094,9.4,49.4,0.9985,3.21,0.607,9.6,4
5.98,0.512,0.414,2.58,0.063,27.7,62.2,0.9954,3.17,0.443,9.18,3
7.23,0.617,0.509,1.99,0.113,10.2,27.6,0.9977,3.2,0.909,10.71,5
10.58,0.64,0.37,1.85,0.128,8.9,20.3,0.9942,3.15,0.802,9.55,5
8.16,0.753,0.34,3.22,0.149,2.9,34.1,0.9939,3.22,0.965,10.7,5
8.69,0.451,0.003,1.45,0.012,10.1,68.9,0.9981,3.25,0.648,11.57,5
11.06,0.506,0.501,3.27,0.051,15.3,65.1,0.9969,3.53,0.764,8.83,6
11.43,0.711,0.597,0.14,0.097,29.9,87.2,0.9995,3.37,0.586,10.27,4
8.02,0.466,0.259,0.46,0.075,17.2,48.9,0.9955,3.43,0.642,9.77,6
7.81,0.623,0.027,3.69,0.127,14.9,38.4,0.9945,3.23,0.368,10.48,3
8.27,0.604,0.107,1.44,0.073,29.2,53.8,0.9977,3.35,0.556,9.26,4
6.95,0.644,0.304,1.93,0.045,27.3,43.7,0.9954,2.83,0.937,11.69,4
9.58,0.444,0.247,3.09,0.012,4.6,31.3,0.9962,3.32,0.393,9.67,4
8.31,0.1,0.0,0.46,0.087,27.7,76.2,0.9987,3.5,0.691,10.79,6
8.12,0.589,0.213,2.31,0.077,6.6,47.7,0.9956,3.38,0.622,12.24,7
8.21,0.373,0.0,2.46,0.106,11.2,33.8,0.9964,3.42,0.604,10.9,5
7.21,0.663,0.344,2.13,0.106,18.4,50.7,0.9937,3.56,0.472,11.18,6
9.2,0.634,0.519,0.64,0.067,20.4,51.5,0.9963,3.32,1.013,9.29,5
5.59,0.267,0.466,1.01,0.124,10.0,28.8,0.9968,3.15,0.545,9.95,6
7.01,0.39,0.408,2.55,0.025,21.2,54.6,0.9966,3.66,0.539,9.48,6
4.76,0.429,0.353,4.9,0.044,12.6,61.5,0.9982,3.2,0.438,10.29,4
5.64,0.632,0.38,2.49,0.057,18.1,60.7,0.9968,3.28,0.665,10.37,4
6.03,0.56,0.13,0.83,0.085,15.9,47.5,0.9975,3.27,0.576,10.37,4
7.67,0.494,0.056,1.82,0.15,22.0,54.8,0.9945,3.12,0.55,10.9,6
7.31,0.245,0.239,3.01,0.011,27.5,54.4,0.9973,3.35,0.564,9.09,5
10.54,0.648,0.393,4.47,0.149,5.3,51.4,0.9949,3.33,0.618,13.45,6
8.47,0.674,0.063,0.47,0.077,20.1,39.2,0.9939,3.04,0.578,10.88,5
7.68,0.459,0.585,2.12,0.12,15.5,50.3,0.9947,3.29,0.808,9.9,5
7.5,0.808,0.291,0.94,0.165,27.1,52.9,0.9975,3.37,0.558,8.64,4
6.39,0.84,0.64,5.94,0.126,13.0,27.5,0.9963,3.48,0.664,9.97,5
8.46,0.269,0.329,3.75,0.125,6.0,33.5,0.9962,3.42,0.798,10.53,6
9.81,0.718,0.476,1.5,0.057,24.8,47.0,0.9924,3.21,0.256,8.5,3
10.73,0.578,0.008,0.8,0.03,29.6,37.7,0.994,3.27,0.714,9.34,5
11.32,0.595,0.0,0.75,0.076,32.4,50.8,0.9987,3.45,0.675,12.47,5
7.58,0.1,0.696,3.49,0.057,16.6,31.0,0.9939,3.47,0.539,11.07,7
6.56,0.528,0.0,3.85,0.105,12.1,41.2,0.9939,3.21,0.724,9.94,5
9.27,0.527,0.164,3.21,0.084,14.8,50.6,0.996,3.18,0.657,11.24,5
8.56,0.166,0.248,1.9,0.048,3.5,28.9,0.9953,3.18,0.773,10.5,6
9.04,0.436,0.217,2.67,0.063,21.3,37.8,0.9977,3.54,0.421,9.98,5
10.46,0.4,0.122,3.93,0.189,16.8,28.0,0.9951,3.2,0.384,11.36,6
9.75,0.399,0.241,5.69,0.095,17.4,54.4,0.9952,3.39,0.679,8.54,4
9.15,0.271,0.31,1.01,0.026,27.2,55.7,0.9963,3.24,0.67,10.4,6
8.44,0.632,0.346,2.43,0.117,19.4,71.0,0.9942,3.35,0.515,10.48,5
6.15,0.465,0.158,5.15,0.115,29.6,68.8,0.9959,3.36,0.986,9.91,6
8.88,0.436,0.219,1.57,0.112,5.7,24.7,0.9956,3.3,0.643,11.3,5
7.54,0.633,0.311,1.16,0.082,9.5,42.2,0.9967,3.59,0.488,8.65,4
8.47,0.35,0.0,2.64,0.088,7.9,16.3,0.9957,3.4,0.812,11.35,5
7.53,0.561,0.076,3.94,0.078,14.9,44.4,0.9952,3.19,0.462,9.62,5
10.0,0.971,0.693,4.04,0.077,15.9,45.7,0.9947,3.35,0.529,11.78,5
6.27,0.357,0.0,5.35,0.123,12.0,39.7,0.9936,3.07,0.835,9.53,4
8.31,0.5,0.026,1.83,0.032,22.8,40.4,0.9979,3.12,0.975,9.55,4
8.31,0.611,0.571,2.1,0.083,19.9,70.2,0.9946,3.32,0.638,10.68,6
10.01,0.561,0.595,4.37,0.175,11.5,43.1,0.9982,3.26,0.694,12.09,6
9.99,0.218,0.396,2.35,0.084,29.7,47.0,0.9976,3.33,0.741,11.38,6
9.56,0.507,0.093,1.08,0.126,25.9,64.5,1.0013,3.2,0.616,10.53,6
6.68,0.313,0.435,0.19,0.094,19.0,56.1,0.9979,3.19,0.572,12.0,7
5.83,0.598,0.637,3.42,0.114,20.4,58.3,0.9968,3.34,0.746,8.5,4
9.05,0.58,0.0,0.71,0.084,16.7,70.0,0.9971,3.56,0.631,10.5,5
7.97,0.481,0.38,3.65,0.099,10.2,41.7,0.9974,3.35,0.773,9.27,5
9.72,0.699,0.331,3.54,0.125,21.6,57.3,0.9951,3.39,0.723,10.6,5
8.87,0.713,0.362,1.62,0.088,2.6,35.0,0.9949,3.47,0.583,10.48,5
7.81,0.371,0.112,2.8,0.082,23.7,47.9,0.9985,3.29,0.406,8.9,4
7.94,0.386,0.197,4.61,0.08,9.2,43.9,0.9974,3.08,0.543,8.5,4
8.93,0.499,0.0,4.27,0.03,22.5,45.8,0.9939,3.36,0.889,10.21,5
7.39,0.694,0.474,4.13,0.087,10.0,52.9,0.9987,3.11,0.604,10.4,5
8.94,0.735,0.063,3.78,0.097,17.4,58.5,0.9951,3.17,0.775,11.42,6
6.4,0.759,0.356,4.13,0.071,23.8,65.2,0.9955,3.31,0.62,9.75,5
7.06,0.604,0.55,2.05,0.013,24.7,53.2,0.9973,3.26,0.667,10.46,6
9.57,0.336,0.281,2.8,0.022,5.3,43.6,0.9974,3.38,0.674,8.71,5
7.85,0.625,0.041,2.62,0.048,27.7,51.1,0.9948,3.46,0.644,10.7,5
8.54,0.615,0.066,3.06,0.082,6.5,8.0,0.9968,3.45,0.477,8.98,3
6.84,0.186,0.407,0.18,0.12,3.3,40.4,0.9964,3.26,0.767,10.79,5
6.44,0.251,0.153,0.91,0.047,18.4,45.7,0.999,3.06,0.62,11.18,5
8.13,0.474,0.105,0.22,0.125,14.8,36.6,0.9977,3.31,0.667,9.99,5
7.28,0.862,0.062,1.1,0.115,24.4,49.4,0.9967,3.35,1.068,12.41,6
9.1,0.565,0.0,3.68,0.09,20.8,39.2,0.9977,3.09,0.82,9.99,4
7.32,0.655,0.172,2.91,0.12,24.3,29.9,0.9976,3.24,0.835,10.08,4
8.04,0.382,0.443,2.32,0.121,24.8,47.0,0.9981,3.14,0.738,9.25,5
9.55,0.134,0.186,4.39,0.155,6.4,34.9,0.9989,3.35,0.442,9.95,4
6.6,0.755,0.438,5.31,0.039,19.5,73.4,0.9983,3.38,0.765,11.32,5
9.37,0.351,0.624,3.3,0.112,11.6,36.3,0.9994,3.16,0.558,9.1,5
8.37,0.662,0.44,1.8,0.068,23.4,57.7,0.9956,3.23,0.555,10.35,5
7.56,0.34,0.463,3.3,0.063,31.8,65.5,0.9926,3.37,0.881,9.47,5
8.95,0.791,0.081,5.87,0.084,21.4,36.3,0.9959,3.36,0.617,10.84,5
11.09,0.431,0.438,2.81,0.044,28.2,57.9,1.0005,3.39,0.578,9.88,6
8.03,0.352,0.208,4.0,0.099,6.5,38.3,0.9949,3.3,0.636,10.36,5
8.02,0.258,0.392,0.79,0.055,23.8,26.0,0.9972,3.11,0.823,9.2,7
8.36,0.674,0.036,3.37,0.064,28.8,57.2,0.9963,3.34,0.641,9.04,4
6.49,0.449,0.204,4.68,0.095,21.9,74.8,0.9957,3.29,0.337,11.9,5
6.49,0.534,0.257,0.12,0.055,12.3,59.9,0.9989,3.08,0.727,9.67,5
7.47,0.495,0.3,0.44,0.073,23.0,79.4,0.9951,3.68,0.142,9.41,5
8.83,0.399,0.434,2.28,0.066,23.1,53.2,0.9965,3.19,0.738,8.5,5
10.72,0.546,0.24,3.58,0.013,37.0,64.8,0.9976,3.36,0.974,9.36,5
7.45,0.272,0.058,3.28,0.085,21.6,31.6,0.9984,3.59,1.026,8.5,4
7.11,0.627,0.067,4.94,0.067,8.3,41.2,0.9904,3.13,0.678,9.72,5
8.76,0.177,0.545,3.31,0.11,25.3,68.3,0.997,3.7,0.743,9.54,5
7.55,0.574,0.199,4.71,0.162,14.7,67.9,0.9988,3.08,0.683,9.6,5
9.7,0.903,0.268,3.96,0.133,23.0,55.0,0.9976,3.4,0.455,10.18,5
9.01,0.373,0.256,0.85,0.112,17.9,60.0,0.9966,3.32,1.055,11.36,5
8.12,0.621,0.069,4.79,0.049,18.5,30.4,0.9938,3.36,0.556,11.02,5
8.71,0.713,0.533,2.42,0.049,0.5,12.1,0.9972,3.47,0.463,10.27,5
8.01,0.1,0.292,3.86,0.096,6.3,45.3,0.997,3.09,0.447,11.16,5
6.21,0.508,0.329,0.93,0.092,4.5,63.2,0.9978,3.39,0.508,10.85,5
6.81,0.605,0.186,3.23,0.084,12.2,47.5,0.996,3.0,0.985,10.51,5
8.05,0.474,0.312,4.0,0.004,12.2,33.9,0.9959,3.2,0.698,10.26,5
9.36,0.581,0.435,1.4,0.105,3.2,52.4,0.9937,3.49,0.725,12.76,6
8.98,0.427,0.515,2.19,0.068,14.7,54.6,0.9987,3.3,0.916,9.56,6
11.46,0.653,0.0,3.68,0.128,17.8,48.5,0.9966,3.23,0.353,9.08,3
10.49,0.438,0.394,3.7,0.118,17.5,50.3,0.9937,3.27,0.818,11.42,6
9.8,0.751,0.377,2.94,0.08,5.0,29.9,0.993,3.73,0.614,11.19,6
8.95,0.337,0.101,2.28,0.092,23.7,43.6,0.9967,3.42,0.729,9.82,5
8.32,0.644,0.482,2.68,0.106,8.7,48.5,0.9962,3.39,0.75,13.7,7
6.66,0.734,0.6,4.03,0.137,36.8,80.8,0.9998,3.42,0.343,10.39,5
4.65,0.418,0.392,3.32,0.063,4.6,38.6,0.9982,3.5,0.57,11.08,6
5.48,0.544,0.26,2.81,0.188,8.8,13.8,0.9954,3.57,0.663,10.15,4
9.78,0.497,0.253,1.74,0.088,14.1,48.8,0.9956,3.14,0.625,10.14,4
10.07,0.973,0.333,2.21,0.045,30.4,76.5,0.997,3.3,0.613,9.41,3
6.67,0.371,0.369,2.71,0.018,17.6,37.7,0.9937,3.48,0.544,9.58,5
6.92,0.974,0.0,3.23,0.137,23.6,50.0,0.9952,3.42,0.391,12.81,4
10.59,0.479,0.085,3.13,0.134,22.5,26.0,0.9993,3.06,0.976,11.15,5
7.36,0.302,0.505,1.6,0.061,28.6,89.1,0.997,3.46,0.83,10.19,5
10.02,0.342,0.226,3.67,0.067,16.8,32.6,0.9998,3.29,0.557,10.8,6
7.28,0.464,0.115,2.68,0.073,18.9,50.6,0.9968,3.29,0.544,11.01,5
4.44,0.849,0.252,4.57,0.061,2.7,54.1,0.995,3.36,0.785,10.91,5
8.82,0.343,0.378,2.4,0.135,21.1,48.8,0.9951,3.31,0.676,9.62,6
5.42,0.605,0.416,3.47,0.062,28.4,51.0,0.9955,3.35,0.43,10.62,4
8.78,0.498,0.564,1.7,0.128,0.4,43.6,0.9974,3.16,0.741,10.62,5
7.5,0.474,0.592,1.58,0.077,21.7,51.4,0.9972,3.47,0.437,10.46,4
8.46,0.471,0.279,1.58,0.122,35.0,82.4,0.9983,3.44,0.508,9.32,4
6.68,0.686,0.048,3.27,0.116,15.0,40.0,0.9943,3.3,0.57,11.51,5
7.78,0.404,0.362,4.78,0.026,26.5,51.1,1.0008,3.12,0.693,10.34,6
8.25,0.331,0.507,0.23,0.17,2.0,32.4,0.9954,3.46,0.786,11.32,6
